거래일시,입금액,출금액,잔액,거래상대방,적요
2025-09-02 09:04,0,217200,12182800,망원시장 상회,식재료비
2025-09-03 09:12,328990,0,12511790,카드정산사,카드 매출 정산 입금
2025-09-03 20:40,43000,0,12554790,자동입출금기,현금 매출 입금
2025-09-03 10:39,0,144600,12410190,망원시장 상회,식재료비
2025-09-03 10:01,0,146000,12264190,우리쌀도정,곡물 매입
2025-09-04 09:12,527960,0,12792150,카드정산사,카드 매출 정산 입금
2025-09-04 10:58,0,187400,12604750,한빛수산,수산물 매입
2025-09-05 09:12,556520,0,13161270,카드정산사,카드 매출 정산 입금
2025-09-05 08:20,0,178000,12983270,망원시장 상회,식재료비
2025-09-05 08:18,0,154600,12828670,한빛수산,수산물 매입
2025-09-05 10:00,0,2300000,10528670,한빛빌딩 임대,월 임차료
2025-09-05 10:00,0,240000,10288670,관리사무소,공용관리비
2025-09-06 09:12,694420,0,10983090,카드정산사,카드 매출 정산 입금
2025-09-06 20:40,238000,0,11221090,자동입출금기,현금 매출 입금
2025-09-06 10:19,0,202100,11018990,망원시장 상회,식재료비
2025-09-07 09:12,769280,0,11788270,카드정산사,카드 매출 정산 입금
2025-09-07 09:51,0,142200,11646070,한빛수산,수산물 매입
2025-09-08 09:12,603800,0,12249870,카드정산사,카드 매출 정산 입금
2025-09-09 09:12,418620,0,12668490,카드정산사,카드 매출 정산 입금
2025-09-09 20:40,87000,0,12755490,자동입출금기,현금 매출 입금
2025-09-09 09:55,0,181500,12573990,망원시장 상회,식재료비
2025-09-09 10:06,0,143200,12430790,우리쌀도정,곡물 매입
2025-09-10 11:30,0,4633000,7797790,급여이체,직원 급여
2025-09-11 09:12,382180,0,8179970,카드정산사,카드 매출 정산 입금
2025-09-12 09:12,417640,0,8597610,카드정산사,카드 매출 정산 입금
2025-09-12 20:40,255000,0,8852610,자동입출금기,현금 매출 입금
2025-09-13 09:12,709200,0,9561810,카드정산사,카드 매출 정산 입금
2025-09-14 09:12,713140,0,10274950,카드정산사,카드 매출 정산 입금
2025-09-14 10:04,0,140400,10134550,한빛수산,수산물 매입
2025-09-15 09:12,758450,0,10893000,카드정산사,카드 매출 정산 입금
2025-09-15 20:40,148000,0,11041000,자동입출금기,현금 매출 입금
2025-09-15 10:34,0,177800,10863200,망원시장 상회,식재료비
2025-09-16 09:12,407790,0,11270990,카드정산사,카드 매출 정산 입금
