고객해시,첫방문일,최근방문일,방문횟수,누적결제액,식별채널
c000000b4b9,2026-02-04,2026-02-14,6,158100,POS회원
c377a4f7a16,2026-03-16,2026-03-16,1,21000,멤버십
c6ef49e3116,2026-01-04,2026-04-13,5,110900,배달재주문
ca66eedfcf5,2025-09-11,2025-09-11,1,26200,멤버십
cdde93c7cb7,2026-01-09,2026-01-09,1,22200,POS회원
c15638c2a41,2026-03-14,2026-07-01,2,41800,POS회원
c4cdddb8f5a,2025-12-03,2026-07-18,2,46800,POS회원
c84582a4604,2026-07-12,2026-08-31,7,161600,배달재주문
cbbd27932ab,2025-09-02,2025-09-02,1,27300,POS회원
cf34cc89162,2026-05-07,2026-05-07,1,27700,예약
c2ac718bd4b,2026-01-02,2026-05-22,2,38200,예약
c624167f817,2025-10-19,2026-07-24,4,79400,예약
c99bbb67626,2026-03-06,2026-05-17,6,152400,POS회원
cd13605e6e2,2026-01-14,2026-01-14,1,27600,배달재주문
c08b0551b79,2026-03-18,2026-04-17,9,226800,멤버십
c402aa43235,2026-02-03,2026-02-03,1,20200,멤버십
c77a4f3951e,2026-06-18,2026-06-18,1,20200,멤버십
caf1f420fa9,2026-01-18,2026-01-18,1,24100,멤버십
ce6999194be,2026-03-31,2026-08-31,7,189800,POS회원
c1e13e1763b,2026-04-29,2026-04-29,1,27900,예약
c558e306af0,2026-01-25,2026-01-25,1,27900,POS회원
c8d087f2dba,2026-02-16,2026-02-16,1,29000,POS회원
cc482ce5aa2,2026-03-06,2026-08-31,6,123400,POS회원
cfbfd1dfb8e,2026-02-05,2026-02-05,1,21100,멤버십
c33776d5827,2026-04-04,2026-04-04,1,20400,POS회원
c6af1bc5919,2026-01-02,2026-01-02,1,22700,배달재주문
ca26c0bb23b,2026-05-23,2026-05-23,1,19400,배달재주문
cd9e65a7e2b,2025-09-28,2026-01-08,5,129500,멤버십
c1160aa6e64,2026-06-21,2026-08-31,4,106500,배달재주문
c48daf9f7f2,2026-07-09,2026-07-09,1,21000,멤버십
c805548b1bf,2025-10-20,2025-10-20,1,23800,멤버십
cb7cf97d67f,2025-12-10,2026-01-08,5,122700,예약
cef49e67bd2,2025-11-26,2026-08-30,8,230500,배달재주문
c26c436d7af,2026-01-17,2026-01-17,1,22500,예약
c5e3e8573f0,2025-09-29,2026-01-11,5,144000,POS회원
c95b8d49a1c,2026-07-22,2026-07-22,1,25400,멤버십
ccd3323e8aa,2025-12-19,2025-12-19,1,22800,멤버십
c04ad7381f1,2026-03-06,2026-03-06,1,28400,예약
c3c27c23c85,2026-02-13,2026-02-13,1,21900,예약
c73a211be18,2026-07-22,2026-08-31,2,47500,예약
cab1c60ef03,2026-01-11,2026-01-11,1,25900,POS회원
ce296afd926,2026-07-05,2026-07-05,1,21700,멤버십
c1a10ff0431,2026-04-30,2026-04-30,1,22000,배달재주문
c518b4e7d1d,2025-12-18,2025-12-18,1,28100,POS회원
c89059d9035,2026-05-05,2026-07-10,5,107500,멤버십
cc07fec2274,2025-10-09,2025-10-09,1,25600,POS회원
cf7fa3b98b8,2026-06-24,2026-06-24,1,29000,예약
