기준월,금융기관,대출종류,금리,최초대출금,잔액,월원리금,만기일
2025-09,한빛은행,운전자금대출,5.4,40000000,36180000,780000,
2025-09,소상공인시장진흥공단,정책자금,2.9,30000000,24470000,370000,
2025-10,한빛은행,운전자금대출,5.4,40000000,35400000,780000,
2025-10,소상공인시장진흥공단,정책자금,2.9,30000000,24100000,370000,
2025-11,한빛은행,운전자금대출,5.4,40000000,34620000,780000,
2025-11,소상공인시장진흥공단,정책자금,2.9,30000000,23730000,370000,
2025-12,한빛은행,운전자금대출,5.4,40000000,33840000,780000,
2025-12,소상공인시장진흥공단,정책자금,2.9,30000000,23360000,370000,
2026-01,한빛은행,운전자금대출,5.4,40000000,33060000,780000,
2026-01,소상공인시장진흥공단,정책자금,2.9,30000000,22990000,370000,
2026-02,한빛은행,운전자금대출,5.4,40000000,32280000,780000,
2026-02,소상공인시장진흥공단,정책자금,2.9,30000000,22620000,370000,
2026-03,한빛은행,운전자금대출,5.4,40000000,31500000,780000,
2026-03,소상공인시장진흥공단,정책자금,2.9,30000000,22250000,370000,
2026-04,한빛은행,운전자금대출,5.4,40000000,30720000,780000,
2026-04,소상공인시장진흥공단,정책자금,2.9,30000000,21880000,370000,
2026-05,한빛은행,운전자금대출,5.4,40000000,29940000,780000,
2026-05,소상공인시장진흥공단,정책자금,2.9,30000000,21510000,370000,
2026-06,한빛은행,운전자금대출,5.4,40000000,29160000,780000,
2026-06,소상공인시장진흥공단,정책자금,2.9,30000000,21140000,370000,
2026-07,한빛은행,운전자금대출,5.4,40000000,28380000,780000,
2026-07,소상공인시장진흥공단,정책자금,2.9,30000000,20770000,370000,
2026-08,한빛은행,운전자금대출,5.4,40000000,27600000,780000,2029-04-25
2026-08,소상공인시장진흥공단,정책자금,2.9,30000000,20400000,370000,2029-04-25
