주문일,플랫폼,주문건수,주문금액,수수료,취소금액,재주문건수,평균평점
2025-09-01,배달의민족,2,51700,6980,0,1,4.8
2025-09-02,배달의민족,4,86800,11720,0,2,4.9
2025-09-02,쿠팡이츠,1,31800,4290,0,0,4.7
2025-09-03,배달의민족,3,77800,10500,0,1,4.6
2025-09-03,쿠팡이츠,1,30800,4160,0,0,4.6
2025-09-04,배달의민족,4,105400,14230,0,2,4.6
2025-09-04,쿠팡이츠,2,53500,7220,0,1,4.8
2025-09-05,배달의민족,7,162800,21980,0,2,4.7
2025-09-05,쿠팡이츠,3,69200,9340,0,1,4.9
2025-09-06,배달의민족,4,95300,12870,3800,2,4.6
2025-09-06,쿠팡이츠,2,49000,6620,0,1,4.6
2025-09-07,배달의민족,3,74700,10080,0,1,4.7
2025-09-07,쿠팡이츠,1,28500,3850,0,0,4.9
2025-09-09,배달의민족,3,66900,9030,0,1,4.6
2025-09-09,쿠팡이츠,1,34200,4620,0,0,4.9
2025-09-10,배달의민족,3,73700,9950,0,1,4.6
2025-09-10,쿠팡이츠,1,35000,4730,0,0,4.8
2025-09-11,배달의민족,5,110500,14920,0,2,4.8
2025-09-11,쿠팡이츠,2,45300,6120,0,1,4.7
2025-09-12,배달의민족,5,128900,17400,0,2,4.6
2025-09-12,쿠팡이츠,3,60700,8190,0,1,4.6
2025-09-13,배달의민족,5,116400,15710,0,2,4.9
2025-09-13,쿠팡이츠,2,43400,5860,1700,1,4.6
2025-09-14,배달의민족,3,69000,9320,0,1,4.6
2025-09-14,쿠팡이츠,2,36500,4930,1500,1,4.8
2025-09-15,배달의민족,3,65000,8780,0,1,4.6
2025-09-15,쿠팡이츠,1,28900,3900,0,0,4.5
2025-09-16,배달의민족,5,118800,16040,0,2,4.6
2025-09-16,쿠팡이츠,2,44800,6050,0,1,4.5
2025-09-17,배달의민족,2,43100,5820,0,1,4.5
2025-09-17,쿠팡이츠,1,20800,2810,0,0,4.9
2025-09-18,배달의민족,3,72200,9750,0,1,4.5
2025-09-18,쿠팡이츠,1,24300,3280,0,0,4.7
2025-09-19,배달의민족,5,110100,14860,0,2,4.6
2025-09-19,쿠팡이츠,2,55100,7440,0,1,4.8
2025-09-20,배달의민족,4,86500,11680,0,1,4.6
2025-09-20,쿠팡이츠,1,32500,4390,0,0,4.6
2025-09-21,배달의민족,3,64600,8720,0,1,4.8
2025-09-21,쿠팡이츠,1,24600,3320,0,0,4.5
2025-09-23,배달의민족,4,95600,12910,0,2,4.7
2025-09-23,쿠팡이츠,2,36900,4980,0,1,4.7
2025-09-24,배달의민족,4,98100,13240,0,2,4.7
2025-09-24,쿠팡이츠,1,30900,4170,0,0,4.7
2025-09-25,배달의민족,4,101700,13730,0,2,4.8
2025-09-25,쿠팡이츠,2,44000,5940,0,1,4.6
2025-09-26,배달의민족,5,130200,17580,0,2,4.8
2025-09-26,쿠팡이츠,2,56100,7570,0,1,4.6
2025-09-27,배달의민족,5,123600,16690,0,2,4.8
2025-09-27,쿠팡이츠,2,41800,5640,0,1,4.8
2025-09-28,배달의민족,3,76100,10270,3000,1,4.6
2025-09-28,쿠팡이츠,1,31200,4210,1200,0,4.8
2025-09-29,배달의민족,2,55900,7550,0,1,4.7
2025-09-29,쿠팡이츠,1,22200,3000,0,0,4.6
2025-09-30,배달의민족,3,74900,10110,3000,1,4.7
2025-09-30,쿠팡이츠,2,36400,4910,0,1,4.5
2025-10-01,배달의민족,4,84400,11390,0,2,4.6
2025-10-01,쿠팡이츠,1,33900,4580,0,0,4.5
2025-10-02,배달의민족,3,76100,10270,0,1,4.8
2025-10-02,쿠팡이츠,1,35300,4770,0,0,4.9
2025-10-03,배달의민족,5,108600,14660,0,2,4.8
2025-10-03,쿠팡이츠,3,63000,8510,0,1,4.7
2025-10-04,배달의민족,4,105100,14190,0,1,4.5
2025-10-04,쿠팡이츠,2,36600,4940,0,1,4.8
2025-10-05,배달의민족,3,70700,9540,0,1,4.6
2025-10-05,쿠팡이츠,2,38800,5240,1600,1,4.7
2025-10-06,배달의민족,4,91900,12410,0,2,4.7
2025-10-06,쿠팡이츠,2,39200,5290,0,1,4.6
2025-10-07,배달의민족,3,71400,9640,0,1,4.7
2025-10-07,쿠팡이츠,1,26900,3630,0,0,4.6
2025-10-08,배달의민족,4,97100,13110,0,1,4.8
2025-10-08,쿠팡이츠,2,49800,6720,0,1,4.8
2025-10-09,배달의민족,3,79600,10750,0,1,4.7
2025-10-09,쿠팡이츠,2,39100,5280,0,1,4.6
2025-10-10,배달의민족,5,121200,16360,0,2,4.8
2025-10-10,쿠팡이츠,2,52500,7090,0,1,4.5
2025-10-11,배달의민족,5,114300,15430,0,2,4.6
2025-10-11,쿠팡이츠,2,52000,7020,0,1,4.6
