기준월,총매출,배달매출,배달비중(%),월임차료,월원리금
2025-09,16548000,3584700,21.7,2300000,1150000
2025-10,17699000,3853000,21.8,2300000,1150000
2025-11,17384000,3719300,21.4,2300000,1150000
2025-12,17720000,3841000,21.7,2300000,1150000
2026-01,18074000,3898100,21.6,2300000,1150000
2026-02,16788000,3558600,21.2,2300000,1150000
2026-03,18226000,3883500,21.3,2300000,1150000
2026-04,18075000,3922300,21.7,2300000,1150000
2026-05,19679000,4295000,21.8,2300000,1150000
2026-06,18878000,4028400,21.3,2300000,1150000
2026-07,20602000,4439800,21.6,2300000,1150000
2026-08,20414000,4425000,21.7,2300000,1150000
