영업일,결제시각,주문금액,결제수단,메뉴,수량,취소환불액
2025-09-01,11:19,9000,카드,동치미 국수,1,0
2025-09-01,12:03,26000,카드,보리굴비 정식,1,0
2025-09-01,12:55,6000,카드,계란말이 추가,1,0
2025-09-01,13:07,15000,간편결제,제철 반상,1,0
2025-09-01,13:46,13000,카드,들기름 고등어 한상,1,0
2025-09-01,13:46,9000,간편결제,동치미 국수,1,9000
2025-09-01,13:55,15000,카드,제철 반상,1,0
2025-09-01,17:32,13000,카드,들기름 고등어 한상,1,0
2025-09-01,17:49,21000,카드,묵은지 김치찜,1,0
2025-09-01,17:51,6000,카드,계란말이 추가,1,0
2025-09-01,18:22,6000,카드,계란말이 추가,1,0
2025-09-01,18:40,17000,카드,소복 정식,1,0
2025-09-01,18:44,15000,카드,제철 반상,1,0
2025-09-01,19:07,13000,카드,들기름 고등어 한상,1,0
2025-09-01,19:24,21000,현금,묵은지 김치찜,1,0
2025-09-01,19:28,17000,카드,소복 정식,1,0
2025-09-01,19:44,9000,카드,동치미 국수,1,0
2025-09-01,19:47,30000,카드,제철 반상,2,0
2025-09-01,20:06,42000,카드,묵은지 김치찜,2,0
2025-09-01,20:09,9000,카드,동치미 국수,1,0
2025-09-01,20:53,26000,카드,보리굴비 정식,1,0
2025-09-01,20:59,26000,간편결제,들기름 고등어 한상,2,0
2025-09-02,11:10,9000,현금,동치미 국수,1,0
2025-09-02,11:20,15000,카드,제철 반상,1,0
2025-09-02,11:42,9000,카드,동치미 국수,1,0
2025-09-02,11:58,13000,간편결제,들기름 고등어 한상,1,0
2025-09-02,12:14,30000,카드,제철 반상,2,0
2025-09-02,12:27,13000,카드,들기름 고등어 한상,1,0
2025-09-02,13:01,13000,카드,들기름 고등어 한상,1,0
2025-09-02,13:34,12000,카드,계란말이 추가,2,0
2025-09-02,13:58,12000,간편결제,계란말이 추가,2,0
2025-09-02,17:09,26000,카드,보리굴비 정식,1,0
2025-09-02,17:15,9000,간편결제,동치미 국수,1,0
2025-09-02,17:29,21000,카드,묵은지 김치찜,1,0
2025-09-02,17:41,26000,카드,보리굴비 정식,1,0
2025-09-02,17:59,13000,현금,들기름 고등어 한상,1,0
2025-09-02,18:04,52000,카드,보리굴비 정식,2,0
2025-09-02,18:12,27000,카드,동치미 국수,3,0
2025-09-02,18:44,9000,카드,동치미 국수,1,0
2025-09-02,18:46,39000,간편결제,들기름 고등어 한상,3,0
2025-09-02,19:15,30000,카드,제철 반상,2,0
2025-09-02,19:19,21000,카드,묵은지 김치찜,1,0
2025-09-02,19:24,15000,카드,제철 반상,1,0
2025-09-02,19:45,26000,간편결제,보리굴비 정식,1,0
2025-09-02,19:48,15000,카드,제철 반상,1,0
2025-09-02,19:57,52000,카드,보리굴비 정식,2,0
2025-09-02,19:58,51000,카드,소복 정식,3,0
2025-09-03,11:45,6000,간편결제,계란말이 추가,1,0
2025-09-03,11:50,13000,간편결제,들기름 고등어 한상,1,0
2025-09-03,12:09,9000,카드,동치미 국수,1,0
2025-09-03,12:12,15000,카드,제철 반상,1,0
2025-09-03,12:34,13000,카드,들기름 고등어 한상,1,0
2025-09-03,12:51,17000,카드,소복 정식,1,0
2025-09-03,12:57,6000,카드,계란말이 추가,1,0
2025-09-03,13:18,15000,카드,제철 반상,1,0
2025-09-03,13:28,26000,카드,보리굴비 정식,1,26000
2025-09-03,17:22,6000,카드,계란말이 추가,1,0
2025-09-03,17:31,17000,카드,소복 정식,1,0
2025-09-03,17:42,18000,간편결제,동치미 국수,2,0
2025-09-03,17:42,26000,카드,보리굴비 정식,1,0
2025-09-03,17:52,30000,카드,제철 반상,2,0
2025-09-03,18:02,9000,카드,동치미 국수,1,0
2025-09-03,18:02,17000,카드,소복 정식,1,0
2025-09-03,18:12,15000,간편결제,제철 반상,1,0
2025-09-03,18:52,30000,카드,제철 반상,2,0
2025-09-03,18:54,15000,카드,제철 반상,1,0
2025-09-03,19:10,9000,카드,동치미 국수,1,0
2025-09-03,19:14,15000,카드,제철 반상,1,0
2025-09-03,19:23,6000,카드,계란말이 추가,1,0
2025-09-03,19:25,6000,카드,계란말이 추가,1,0
2025-09-03,19:36,18000,카드,동치미 국수,2,0
2025-09-03,19:43,34000,카드,소복 정식,2,0
2025-09-03,19:46,13000,카드,들기름 고등어 한상,1,0
2025-09-03,20:01,52000,간편결제,보리굴비 정식,2,0
2025-09-03,20:11,78000,카드,보리굴비 정식,3,0
2025-09-03,20:35,42000,카드,묵은지 김치찜,2,0
2025-09-03,20:49,9000,간편결제,동치미 국수,1,0
2025-09-03,20:59,6000,카드,계란말이 추가,1,0
2025-09-04,11:08,17000,카드,소복 정식,1,0
2025-09-04,11:09,18000,카드,동치미 국수,2,0
2025-09-04,11:09,17000,간편결제,소복 정식,1,0
2025-09-04,11:12,15000,카드,제철 반상,1,0
2025-09-04,11:19,63000,카드,묵은지 김치찜,3,0
2025-09-04,11:23,26000,카드,들기름 고등어 한상,2,0
2025-09-04,11:29,52000,카드,보리굴비 정식,2,0
2025-09-04,11:36,17000,현금,소복 정식,1,0
2025-09-04,11:54,12000,카드,계란말이 추가,2,0
2025-09-04,11:56,21000,카드,묵은지 김치찜,1,0
2025-09-04,11:59,26000,카드,보리굴비 정식,1,0
2025-09-04,12:01,6000,카드,계란말이 추가,1,0
2025-09-04,12:13,45000,카드,제철 반상,3,0
2025-09-04,12:49,17000,카드,소복 정식,1,0
2025-09-04,12:53,21000,간편결제,묵은지 김치찜,1,0
2025-09-04,13:18,15000,카드,제철 반상,1,0
2025-09-04,13:28,34000,카드,소복 정식,2,0
2025-09-04,13:33,6000,카드,계란말이 추가,1,0
2025-09-04,13:55,21000,카드,묵은지 김치찜,1,0
2025-09-04,17:19,21000,카드,묵은지 김치찜,1,0
2025-09-04,17:30,9000,간편결제,동치미 국수,1,0
2025-09-04,17:50,26000,간편결제,들기름 고등어 한상,2,0
2025-09-04,17:51,17000,카드,소복 정식,1,0
2025-09-04,17:56,9000,카드,동치미 국수,1,0
2025-09-04,18:14,6000,카드,계란말이 추가,1,0
2025-09-04,18:22,21000,카드,묵은지 김치찜,1,0
2025-09-04,18:29,13000,간편결제,들기름 고등어 한상,1,0
2025-09-04,19:05,17000,카드,소복 정식,1,0
2025-09-04,19:23,6000,현금,계란말이 추가,1,0
2025-09-04,19:29,45000,카드,제철 반상,3,0
2025-09-04,19:48,15000,카드,제철 반상,1,0
2025-09-04,19:51,9000,카드,동치미 국수,1,0
2025-09-04,20:17,9000,카드,동치미 국수,1,0
2025-09-04,20:39,15000,카드,제철 반상,1,0
2025-09-04,20:44,15000,카드,제철 반상,1,0
2025-09-04,20:54,26000,카드,보리굴비 정식,1,0
2025-09-05,11:28,9000,카드,동치미 국수,1,0
2025-09-05,11:35,30000,현금,제철 반상,2,0
2025-09-05,11:39,9000,카드,동치미 국수,1,0
2025-09-05,12:14,26000,카드,보리굴비 정식,1,0
2025-09-05,12:16,6000,카드,계란말이 추가,1,0
2025-09-05,12:17,30000,카드,제철 반상,2,0
2025-09-05,12:54,9000,현금,동치미 국수,1,0
2025-09-05,12:58,9000,카드,동치미 국수,1,0
2025-09-05,13:00,15000,카드,제철 반상,1,0
2025-09-05,13:14,30000,카드,제철 반상,2,0
2025-09-05,13:20,26000,카드,보리굴비 정식,1,0
2025-09-05,13:23,15000,간편결제,제철 반상,1,0
2025-09-05,13:28,9000,카드,동치미 국수,1,0
2025-09-05,13:44,52000,현금,보리굴비 정식,2,0
2025-09-05,17:04,17000,카드,소복 정식,1,0
2025-09-05,17:07,34000,카드,소복 정식,2,0
2025-09-05,17:09,51000,카드,소복 정식,3,0
2025-09-05,17:17,9000,카드,동치미 국수,1,0
2025-09-05,17:19,21000,간편결제,묵은지 김치찜,1,0
2025-09-05,17:24,42000,간편결제,묵은지 김치찜,2,0
2025-09-05,17:25,17000,카드,소복 정식,1,0
2025-09-05,17:41,9000,간편결제,동치미 국수,1,0
2025-09-05,17:59,78000,간편결제,보리굴비 정식,3,0
2025-09-05,18:00,21000,카드,묵은지 김치찜,1,0
2025-09-05,18:04,6000,카드,계란말이 추가,1,0
2025-09-05,18:19,26000,카드,보리굴비 정식,1,0
2025-09-05,18:47,52000,카드,보리굴비 정식,2,0
2025-09-05,18:49,45000,현금,제철 반상,3,0
2025-09-05,18:54,26000,카드,들기름 고등어 한상,2,0
2025-09-05,19:04,15000,카드,제철 반상,1,0
2025-09-05,19:16,9000,카드,동치미 국수,1,0
2025-09-05,19:18,15000,간편결제,제철 반상,1,0
2025-09-05,19:34,15000,현금,제철 반상,1,0
2025-09-05,19:58,12000,카드,계란말이 추가,2,0
2025-09-05,19:58,26000,현금,보리굴비 정식,1,0
2025-09-05,19:59,18000,카드,동치미 국수,2,0
2025-09-05,20:26,26000,간편결제,보리굴비 정식,1,0
2025-09-05,20:29,17000,카드,소복 정식,1,0
2025-09-05,20:29,21000,간편결제,묵은지 김치찜,1,0
2025-09-05,20:48,6000,카드,계란말이 추가,1,0
2025-09-05,20:50,15000,카드,제철 반상,1,0
2025-09-05,20:57,34000,간편결제,소복 정식,2,0
2025-09-06,11:07,15000,카드,제철 반상,1,0
2025-09-06,11:14,17000,현금,소복 정식,1,0
2025-09-06,11:21,30000,간편결제,제철 반상,2,0
2025-09-06,11:41,21000,현금,묵은지 김치찜,1,0
2025-09-06,11:46,21000,간편결제,묵은지 김치찜,1,0
2025-09-06,11:51,26000,카드,들기름 고등어 한상,2,0
2025-09-06,11:54,13000,카드,들기름 고등어 한상,1,0
2025-09-06,12:01,17000,카드,소복 정식,1,0
2025-09-06,12:11,13000,카드,들기름 고등어 한상,1,0
2025-09-06,12:11,34000,간편결제,소복 정식,2,0
2025-09-06,12:18,12000,카드,계란말이 추가,2,0
2025-09-06,12:28,9000,카드,동치미 국수,1,0
2025-09-06,12:54,6000,카드,계란말이 추가,1,0
2025-09-06,13:05,9000,카드,동치미 국수,1,0
2025-09-06,13:22,52000,카드,보리굴비 정식,2,0
2025-09-06,13:32,13000,카드,들기름 고등어 한상,1,0
2025-09-06,13:56,17000,카드,소복 정식,1,0
2025-09-06,17:05,17000,간편결제,소복 정식,1,0
2025-09-06,17:07,15000,카드,제철 반상,1,0
2025-09-06,17:19,17000,카드,소복 정식,1,0
2025-09-06,17:35,15000,간편결제,제철 반상,1,0
2025-09-06,17:39,9000,카드,동치미 국수,1,0
2025-09-06,17:44,15000,간편결제,제철 반상,1,0
2025-09-06,18:04,26000,카드,보리굴비 정식,1,0
2025-09-06,18:27,26000,카드,들기름 고등어 한상,2,0
2025-09-06,18:50,18000,카드,동치미 국수,2,0
2025-09-06,19:14,17000,카드,소복 정식,1,0
2025-09-06,19:23,21000,카드,묵은지 김치찜,1,0
2025-09-06,19:39,30000,간편결제,제철 반상,2,0
2025-09-06,19:50,17000,카드,소복 정식,1,17000
2025-09-06,20:33,13000,카드,들기름 고등어 한상,1,0
2025-09-06,20:35,42000,카드,묵은지 김치찜,2,0
2025-09-06,20:39,21000,카드,묵은지 김치찜,1,0
2025-09-06,20:50,9000,카드,동치미 국수,1,0
2025-09-06,20:59,15000,카드,제철 반상,1,0
2025-09-07,11:08,26000,카드,보리굴비 정식,1,0
2025-09-07,11:13,63000,카드,묵은지 김치찜,3,0
2025-09-07,11:42,26000,카드,보리굴비 정식,1,0
2025-09-07,11:56,30000,카드,제철 반상,2,0
2025-09-07,12:12,17000,카드,소복 정식,1,0
2025-09-07,12:18,13000,간편결제,들기름 고등어 한상,1,13000
2025-09-07,12:40,17000,간편결제,소복 정식,1,0
2025-09-07,12:48,21000,카드,묵은지 김치찜,1,0
2025-09-07,13:31,12000,간편결제,계란말이 추가,2,0
2025-09-07,13:54,17000,현금,소복 정식,1,0
2025-09-07,17:41,15000,카드,제철 반상,1,0
2025-09-07,18:16,17000,카드,소복 정식,1,0
2025-09-07,18:40,6000,카드,계란말이 추가,1,0
2025-09-07,19:06,15000,카드,제철 반상,1,0
2025-09-07,19:29,13000,카드,들기름 고등어 한상,1,0
2025-09-07,19:42,34000,카드,소복 정식,2,0
2025-09-07,19:46,52000,간편결제,보리굴비 정식,2,52000
2025-09-07,20:00,42000,카드,묵은지 김치찜,2,0
2025-09-07,20:36,26000,카드,보리굴비 정식,1,0
2025-09-07,20:36,18000,간편결제,동치미 국수,2,0
2025-09-07,20:42,18000,카드,동치미 국수,2,0
2025-09-07,20:51,9000,간편결제,동치미 국수,1,0
